New Zealand	241/8	50.0	1	tied	/ci/engine/match/1144530.html	16
England	241	50.0	2	tied	/ci/engine/match/1144530.html	24
Australia	223	49.0	1	lost	/ci/engine/match/1144529.html	17
England	226/2	32.1	2	won	/ci/engine/match/1144529.html	35
New Zealand	239/8	50.0	1	won	/ci/engine/match/1144528.html	16
India	221	49.3	2	lost	/ci/engine/match/1144528.html	18
Zimbabwe	190	46.5	1	lost	/ci/engine/match/1168519.html	21
Ireland	191/4	41.2	2	won	/ci/engine/match/1168519.html	25
South Africa	325/6	50.0	1	won	/ci/engine/match/1144527.html	33
Australia	315	49.5	2	lost	/ci/engine/match/1144527.html	41
Sri Lanka	264/7	50.0	1	lost	/ci/engine/match/1144526.html	26
India	265/3	43.3	2	won	/ci/engine/match/1144526.html	33
Pakistan	315/9	50.0	1	won	/ci/engine/match/1144525.html	31
Bangladesh	221	44.1	2	lost	/ci/engine/match/1144525.html	22
Ireland	242/9	50.0	1	won	/ci/engine/match/1168518.html	29
Zimbabwe	237/9	50.0	2	lost	/ci/engine/match/1168518.html	25
West Indies	311/6	50.0	1	won	/ci/engine/match/1144524.html	37
Afghanistan	288	50.0	2	lost	/ci/engine/match/1144524.html	32
England	305/8	50.0	1	won	/ci/engine/match/1144523.html	33
New Zealand	186	45.0	2	lost	/ci/engine/match/1144523.html	14
India	314/9	50.0	1	won	/ci/engine/match/1144522.html	34
Bangladesh	286	48.0	2	lost	/ci/engine/match/1144522.html	33
Zimbabwe	254/9	50.0	1	lost	/ci/engine/match/1168517.html	33
Ireland	258/6	48.3	2	won	/ci/engine/match/1168517.html	31
Sri Lanka	338/6	50.0	1	won	/ci/engine/match/1144521.html	35
West Indies	315/9	50.0	2	lost	/ci/engine/match/1144521.html	35
England	337/7	50.0	1	won	/ci/engine/match/1144520.html	40
India	306/5	50.0	2	lost	/ci/engine/match/1144520.html	36
Australia	243/9	50.0	1	won	/ci/engine/match/1144519.html	24
New Zealand	157	43.4	2	lost	/ci/engine/match/1144519.html	11
Afghanistan	227/9	50.0	1	lost	/ci/engine/match/1144518.html	23
Pakistan	230/7	49.4	2	won	/ci/engine/match/1144518.html	21
Sri Lanka	203	49.3	1	lost	/ci/engine/match/1144517.html	17
South Africa	206/1	37.2	2	won	/ci/engine/match/1144517.html	19
India	268/7	50.0	1	won	/ci/engine/match/1144516.html	30
West Indies	143	34.2	2	lost	/ci/engine/match/1144516.html	13
New Zealand	237/6	50.0	1	lost	/ci/engine/match/1144515.html	22
Pakistan	241/4	49.1	2	won	/ci/engine/match/1144515.html	29
Australia	285/7	50.0	1	won	/ci/engine/match/1144514.html	33
England	221	44.4	2	lost	/ci/engine/match/1144514.html	27
Bangladesh	262/7	50.0	1	won	/ci/engine/match/1144513.html	18
Afghanistan	200	47.0	2	lost	/ci/engine/match/1144513.html	14
Pakistan	308/7	50.0	1	won	/ci/engine/match/1144512.html	36
South Africa	259/9	50.0	2	lost	/ci/engine/match/1144512.html	23
New Zealand	291/8	50.0	1	won	/ci/engine/match/1144511.html	27
West Indies	286	49.0	2	lost	/ci/engine/match/1144511.html	40
India	224/8	50.0	1	won	/ci/engine/match/1144510.html	16
Afghanistan	213	49.5	2	lost	/ci/engine/match/1144510.html	16
Sri Lanka	232/9	50.0	1	won	/ci/engine/match/1144509.html	18
England	212	47.0	2	lost	/ci/engine/match/1144509.html	20
Zimbabwe	290/6	50.0	1	lost	/ci/engine/match/1188378.html	35
Netherlands	291/7	49.2	2	won	/ci/engine/match/1188378.html	32
Australia	381/5	50.0	1	won	/ci/engine/match/1144508.html	44
Bangladesh	333/8	50.0	2	lost	/ci/engine/match/1144508.html	34
South Africa	241/6	49.0	1	lost	/ci/engine/match/1144507.html	22
New Zealand	245/6	48.3	2	won	/ci/engine/match/1144507.html	27
Zimbabwe	205/8	47.0	1	lost	/ci/engine/match/1188377.html	19
Netherlands	208/3	42.4	2	won	/ci/engine/match/1188377.html	27
England	397/6	50.0	1	won	/ci/engine/match/1144506.html	46
Afghanistan	247/8	50.0	2	lost	/ci/engine/match/1144506.html	24
West Indies	321/8	50.0	1	lost	/ci/engine/match/1144505.html	31
Bangladesh	322/3	41.3	2	won	/ci/engine/match/1144505.html	38
India	336/5	50.0	1	won	/ci/engine/match/1144504.html	34
Pakistan	212/6	40.0	2	lost	/ci/engine/match/1144504.html	21
Afghanistan	125	34.1	1	lost	/ci/engine/match/1144503.html	15
South Africa	131/1	28.4	2	won	/ci/engine/match/1144503.html	15
Australia	334/7	50.0	1	won	/ci/engine/match/1144502.html	37
Sri Lanka	247	45.5	2	lost	/ci/engine/match/1144502.html	24
West Indies	212	44.4	1	lost	/ci/engine/match/1144501.html	20
England	213/2	33.1	2	won	/ci/engine/match/1144501.html	24
Australia	307	49.0	1	won	/ci/engine/match/1144499.html	33
Pakistan	266	45.4	2	lost	/ci/engine/match/1144499.html	30
India	352/5	50.0	1	won	/ci/engine/match/1144496.html	39
Australia	316	50.0	2	lost	/ci/engine/match/1144496.html	32
Afghanistan	172	41.1	1	lost	/ci/engine/match/1144495.html	26
New Zealand	173/3	32.1	2	won	/ci/engine/match/1144495.html	21
England	386/6	50.0	1	won	/ci/engine/match/1144494.html	42
Bangladesh	280	48.5	2	lost	/ci/engine/match/1144494.html	24
Australia	288	49.0	1	won	/ci/engine/match/1144492.html	33
West Indies	273/9	50.0	2	lost	/ci/engine/match/1144492.html	37
Bangladesh	244	49.2	1	lost	/ci/engine/match/1144491.html	22
New Zealand	248/8	47.1	2	won	/ci/engine/match/1144491.html	27
South Africa	227/9	50.0	1	lost	/ci/engine/match/1144490.html	16
India	230/4	47.3	2	won	/ci/engine/match/1144490.html	24
Sri Lanka	201	36.5	1	won	/ci/engine/match/1144489.html	16
Afghanistan	152	32.4	2	lost	/ci/engine/match/1144489.html	16
Pakistan	348/8	50.0	1	won	/ci/engine/match/1144488.html	35
England	334/9	50.0	2	lost	/ci/engine/match/1144488.html	36
